""	"TCGA-24-1924-01"	"TCGA-25-1628-01"	"TCGA-13-0916-01"	"TCGA-20-1687-01"	"TCGA-13-2060-01"	"TCGA-23-1023-01"	"TCGA-20-1682-01"	"TCGA-30-1860-01"	"TCGA-61-1995-01"	"TCGA-29-1701-01"	"TCGA-09-0366-01"	"TCGA-29-2427-01"	"TCGA-09-1666-01"	"TCGA-29-1784-01"
"SPG7"	88	125	127	71	83	108	60	72	124	74	138	66	101	96
"SPHK1"	37	44	55	25	32	57	30	31	31	38	44	27	28	26
"SPHK2"	70	99	88	54	55	96	47	59	80	69	84	48	66	76
"SPHKAP"	0	4	1	1	2	1	2	0	0	0	0	0	6	0
"SPI1"	29	27	27	22	24	23	21	22	28	23	36	27	22	27
"SPIB"	22	17	38	14	18	22	13	14	19	14	14	12	10	23
"SPIC"	3	3	1	1	2	0	1	3	2	1	1	3	2	3
"SPICE1"	32	31	40	15	31	28	26	21	39	27	36	13	32	26
"SPIDR"	100	133	168	78	70	101	81	89	152	88	123	86	104	119
"SPIN1"	40	42	40	33	30	38	31	28	44	30	41	25	40	38
"SPIN2A"	10	12	13	5	10	8	10	8	12	14	10	6	9	14
"SPIN2B"	27	24	31	21	17	24	17	17	27	18	24	17	22	24
"SPIN3"	20	19	22	15	18	18	13	15	21	17	19	14	20	20
"SPIN4"	10	10	11	4	9	6	9	9	6	9	9	5	10	7
"SPIN4-AS1"	0	1	2	0	0	0	0	0	0	0	1	0	1	1
"SPINDOC"	21	23	27	15	19	22	20	21	23	23	19	18	22	20
"SPINK1"	5	5	3	1	4	16	3	6	7	6	6	3	3	3
"SPINK13"	0	4	7	1	1	2	0	0	1	1	7	0	5	1
"SPINK14"	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"SPINK2"	10	6	18	3	0	16	6	7	6	16	4	6	8	16
"SPINK4"	2	2	4	0	0	10	0	1	0	1	0	4	0	1
"SPINK5"	10	18	0	13	16	22	15	4	13	7	32	11	4	7
"SPINK6"	1	0	1	0	0	5	1	0	0	0	0	0	0	0
"SPINK7"	0	0	0	0	0	1	0	0	1	0	0	0	0	0
"SPINK8"	0	0	1	1	0	1	1	5	3	3	0	3	0	1
"SPINK9"	4	5	6	2	4	3	3	2	4	3	5	3	4	3
"SPINT1"	82	88	101	93	78	104	74	75	98	72	120	63	82	83
"SPINT1-AS1"	35	26	38	34	29	33	25	28	33	31	42	31	33	32
"SPINT2"	90	86	119	76	62	91	65	76	93	93	84	73	77	95
"SPINT3"	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"SPINT4"	0	0	0	0	0	0	0	0	1	0	2	0	0	0
"SPIRE1"	30	22	30	17	25	28	10	21	31	19	33	10	17	22
"SPIRE2"	37	52	62	35	39	54	31	22	73	29	60	25	40	51
"SPN"	24	28	27	19	23	25	21	23	27	17	31	21	22	22
"SPNS1"	73	69	93	46	66	73	61	52	76	50	85	49	59	66
"SPNS2"	25	38	26	21	12	35	15	12	37	20	27	21	14	19
"SPNS3"	5	12	10	14	3	9	4	4	21	7	28	13	9	6
"SPO11"	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"SPOCD1"	22	32	13	10	18	27	15	15	11	15	16	15	6	17
"SPOCK1"	11	19	15	14	14	21	15	9	8	15	7	15	8	17
"SPOCK2"	39	57	53	34	23	86	32	50	69	48	39	37	31	52
"SPOCK3"	11	22	10	11	13	31	32	2	37	18	21	5	29	11
"SPON1"	23	24	21	15	15	21	19	17	21	20	21	19	15	23
"SPON1-AS1"	5	4	5	0	3	4	2	2	4	4	3	3	1	3
"SPON2"	37	76	61	32	40	74	38	30	68	31	44	31	44	36
"SPOP"	68	87	75	58	60	75	54	49	74	77	91	46	62	70
"SPOPL"	17	17	18	14	16	18	14	6	24	15	20	14	13	17
"SPOUT1"	37	44	50	36	37	45	34	38	41	36	46	33	42	39
"SPP1"	76	71	40	53	49	57	60	62	82	59	97	73	76	81
"SPP2"	6	4	6	13	10	5	3	2	9	7	5	2	5	4
"SPPL2A"	42	41	41	26	41	45	36	40	45	44	52	34	39	38
"SPPL2B"	64	82	95	50	54	85	66	52	97	49	83	50	58	68
"SPPL2C"	0	0	0	0	0	1	0	0	0	0	2	0	0	0
"SPPL3"	36	55	60	36	30	53	45	31	58	34	59	31	38	46
"SPR"	17	15	17	14	15	16	14	15	16	15	14	14	13	17
"SPRED1"	16	20	16	14	13	16	14	13	19	14	18	13	15	15
"SPRED2"	26	37	28	24	20	32	23	16	27	17	36	15	24	19
"SPRED3"	10	19	31	5	8	18	10	10	8	11	17	4	7	18
"SPRING1"	28	28	35	18	27	28	27	23	32	29	32	17	17	27
"SPRN"	8	8	9	6	6	11	5	5	8	6	8	5	7	7
"SPRR1A"	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"SPRR1B"	0	0	0	2	0	3	0	0	3	4	1	0	0	2
"SPRR2A"	0	0	0	2	0	3	0	0	0	2	1	0	0	0
"SPRR2B"	0	0	0	0	0	1	0	0	0	0	1	0	2	0
"SPRR2D"	0	0	0	0	0	1	0	0	0	0	1	0	0	0
"SPRR2E"	0	0	1	0	0	2	1	0	0	0	0	0	0	0
"SPRR2F"	1	0	0	2	2	7	2	0	3	2	2	1	0	0
"SPRR2G"	0	0	0	1	1	1	0	0	1	2	0	0	0	0
"SPRR3"	0	0	0	3	0	0	0	0	0	2	1	0	0	0
"SPRR4"	0	0	2	0	0	0	1	0	0	0	0	0	0	0
"SPRTN"	28	30	29	16	19	26	19	23	30	20	24	15	21	31
"SPRY1"	54	66	54	46	56	59	45	41	56	48	57	40	63	43
"SPRY2"	15	16	16	13	10	17	11	7	7	11	18	8	15	7
"SPRY3"	8	9	10	7	6	8	9	7	8	8	8	8	9	9
"SPRY4"	20	28	23	20	13	33	18	17	15	15	28	15	17	13
"SPRY4-AS1"	4	14	5	2	0	13	3	1	2	4	8	3	2	1
"SPRYD3"	20	15	31	16	20	23	18	16	25	14	22	16	21	19
"SPRYD4"	9	9	11	8	10	9	8	9	10	10	10	7	9	10
"SPRYD7"	21	19	24	18	18	21	14	17	17	22	23	15	23	20
"SPSB1"	25	22	18	16	11	32	24	25	25	25	31	17	18	22
"SPSB2"	26	25	34	23	26	25	21	23	27	21	31	16	24	29
"SPSB3"	52	54	67	52	54	61	60	56	63	50	81	45	44	64
"SPSB4"	8	20	7	6	2	12	8	3	12	5	10	5	3	6
"SPTA1"	0	0	0	2	1	1	0	0	5	1	0	3	11	0
"SPTAN1"	119	177	197	120	138	156	109	101	173	113	174	108	153	122
"SPTB"	9	20	25	13	8	24	22	8	39	9	18	11	7	12
"SPTBN1"	44	52	49	34	48	50	37	35	59	35	48	29	53	32
"SPTBN1-AS1"	0	1	3	0	0	1	0	0	2	1	3	0	0	1
"SPTBN2"	64	58	64	69	57	67	54	52	62	61	73	61	60	59
"SPTBN4"	33	26	31	14	10	33	10	14	23	14	30	7	24	35
"SPTBN5"	9	11	14	9	6	11	9	6	13	7	13	8	11	5
"SPTLC1"	35	42	45	32	39	43	32	29	43	32	48	30	45	43
"SPTLC2"	25	24	25	15	24	32	14	25	27	25	31	20	15	23
"SPTLC3"	32	35	34	26	29	32	28	23	40	22	34	22	32	33
"SPTSSA"	11	11	12	10	11	12	11	12	12	12	12	10	12	12
"SPTSSB"	9	10	3	12	4	27	21	4	19	14	17	6	8	11
"SPTY2D1"	15	17	21	9	11	17	14	12	20	12	11	11	12	18
"SPTY2D1OS"	9	13	17	9	11	12	9	6	15	12	13	7	11	8
"SPX"	23	24	31	27	38	29	11	24	35	20	21	18	22	18
"SPZ1"	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"SQLE"	30	34	42	28	32	37	21	24	28	27	27	27	24	32
"SQOR"	44	28	39	34	34	41	32	36	47	29	45	33	41	37
"SQSTM1"	106	97	133	97	93	113	87	89	126	91	147	97	100	97
"SRA1"	48	45	45	45	41	44	38	40	50	44	49	39	43	49
"SRARP"	4	4	4	1	4	6	1	2	4	3	5	3	3	2
"SRBD1"	12	25	16	14	19	19	8	14	21	16	21	11	14	23
"SRC"	37	53	53	23	32	56	26	39	49	29	66	38	34	26
"SRCAP"	41	48	50	35	37	46	40	35	45	29	45	37	44	40
