""	"TCGA-24-1924-01"	"TCGA-25-1628-01"	"TCGA-13-0916-01"	"TCGA-20-1687-01"	"TCGA-13-2060-01"	"TCGA-23-1023-01"	"TCGA-20-1682-01"	"TCGA-30-1860-01"	"TCGA-61-1995-01"	"TCGA-29-1701-01"	"TCGA-09-0366-01"	"TCGA-29-2427-01"	"TCGA-09-1666-01"	"TCGA-29-1784-01"
"A1BG"	22	19	26	13	18	20	13	16	22	16	25	14	12	20
"A1BG-AS1"	23	15	23	11	20	21	11	23	24	16	26	13	11	23
"A1CF"	3	3	4	0	3	10	1	0	3	2	3	3	3	2
"A2M"	39	38	50	28	39	35	46	38	45	32	54	53	45	35
"A2M-AS1"	8	7	9	7	8	7	6	6	7	7	8	6	7	8
"A2ML1"	18	15	39	28	15	19	44	20	46	31	16	12	13	24
"A2ML1-AS1"	0	0	0	0	0	1	3	1	0	0	1	0	0	2
"A2ML1-AS2"	1	1	2	1	0	2	1	1	1	1	2	2	0	1
"A3GALT2"	4	3	5	1	1	1	2	2	3	3	5	0	1	3
"A4GALT"	33	34	31	36	16	35	33	25	25	18	35	34	20	30
"A4GNT"	1	3	3	0	0	1	0	1	4	0	3	1	2	0
"AAAS"	70	72	104	39	73	62	49	54	89	50	90	41	81	78
"AACS"	49	56	72	32	47	54	41	33	64	39	65	38	41	40
"AADAC"	8	8	8	3	9	8	17	7	11	7	11	8	13	6
"AADACL2"	2	3	4	4	3	3	8	1	10	15	7	4	4	2
"AADACL2-AS1"	5	5	5	1	3	2	2	1	4	1	5	2	4	3
"AADACL3"	3	3	3	4	2	2	8	2	4	2	2	7	1	5
"AADACL4"	0	0	3	1	0	0	0	2	4	0	5	1	0	0
"AADAT"	29	34	39	5	9	33	45	14	19	30	16	8	32	26
"AAGAB"	30	40	46	25	40	41	23	40	45	39	49	28	31	37
"AAK1"	62	82	76	58	77	73	56	54	91	55	94	64	81	57
"AAMDC"	58	47	58	45	50	47	43	41	53	53	108	38	50	44
"AAMP"	71	59	70	53	63	83	45	52	82	49	78	59	59	65
"AANAT"	14	10	11	3	6	9	4	8	13	3	23	6	4	9
"AAR2"	25	28	30	22	25	27	25	24	27	25	32	18	25	26
"AARD"	11	12	12	10	13	12	3	7	12	11	8	13	6	9
"AARS1"	26	39	44	18	28	31	25	26	41	22	39	23	29	31
"AARS2"	11	12	14	9	11	13	8	9	13	11	13	9	10	10
"AARSD1"	46	58	87	32	49	63	36	33	67	58	71	36	51	57
"AASDH"	44	37	58	25	47	50	35	34	41	63	48	26	45	33
"AASDHPPT"	22	20	25	17	16	23	19	17	36	22	20	16	17	20
"AASS"	16	20	28	13	25	14	12	11	15	12	8	8	24	7
"AATBC"	8	12	13	4	3	12	9	6	19	6	11	4	11	6
"AATF"	47	63	57	38	54	50	37	31	56	54	74	41	41	37
"AATK"	12	24	38	9	9	38	8	17	25	8	29	14	10	17
"ABALON"	5	7	7	4	5	7	4	4	6	6	7	5	5	7
"ABAT"	31	32	48	17	28	25	26	24	50	17	38	15	22	25
"ABCA1"	16	21	16	13	10	16	12	12	16	16	18	12	13	13
"ABCA10"	21	24	19	13	16	20	10	5	17	21	18	12	23	21
"ABCA12"	3	5	5	5	5	7	9	7	10	2	6	4	6	4
"ABCA13"	16	20	32	19	8	28	11	13	34	13	36	16	31	17
"ABCA2"	51	92	111	72	29	105	49	47	88	31	126	57	60	79
"ABCA3"	31	33	40	30	25	32	29	26	35	22	44	25	20	29
"ABCA4"	18	17	12	11	19	16	15	11	33	14	26	10	17	15
"ABCA5"	49	41	35	39	38	46	36	32	52	49	53	26	45	50
"ABCA6"	17	31	5	15	17	19	16	11	20	22	14	13	8	16
"ABCA7"	46	48	66	35	23	48	45	35	58	35	86	30	40	41
"ABCA8"	25	30	8	14	11	25	36	11	15	23	18	11	8	13
"ABCA9"	19	32	17	13	13	19	16	8	26	11	16	9	14	17
"ABCA9-AS1"	2	2	2	1	3	4	1	1	3	3	17	2	0	1
"ABCB1"	18	11	27	14	10	20	20	15	24	14	20	9	19	13
"ABCB10"	10	13	18	12	14	11	8	8	20	13	16	13	15	13
"ABCB11"	1	2	0	0	7	1	1	2	2	0	0	1	1	2
"ABCB4"	4	7	13	8	5	8	5	1	7	9	11	7	1	3
"ABCB5"	4	11	13	1	6	9	6	3	10	4	7	1	3	5
"ABCB6"	53	42	58	23	46	46	26	30	60	38	46	31	38	54
"ABCB7"	34	39	49	26	50	33	25	33	42	38	45	29	31	28
"ABCB8"	107	97	104	78	89	93	88	82	104	56	115	64	85	93
"ABCB9"	81	85	121	41	49	88	54	40	100	31	99	50	44	52
"ABCC1"	34	51	52	36	33	53	32	32	45	29	55	27	28	35
"ABCC10"	46	54	59	32	46	50	34	34	53	35	67	35	42	39
"ABCC11"	4	10	15	3	11	13	6	8	8	8	10	24	11	8
"ABCC12"	0	1	1	0	0	0	0	0	0	1	0	1	0	0
"ABCC2"	1	3	3	1	4	2	2	1	3	1	1	0	2	0
"ABCC3"	54	68	38	41	30	82	40	23	70	38	120	44	44	38
"ABCC4"	14	15	19	13	10	13	14	11	21	13	18	5	18	18
"ABCC5"	56	80	72	25	53	65	50	48	79	53	66	42	47	54
"ABCC5-AS1"	1	2	2	0	2	1	0	1	2	2	3	0	1	1
"ABCC6"	33	54	66	25	38	63	44	35	35	29	66	49	33	30
"ABCC8"	6	5	8	0	0	9	3	0	3	0	0	0	0	0
"ABCC9"	16	19	42	14	18	13	21	9	14	14	12	10	15	10
"ABCD1"	18	19	20	14	13	20	13	14	19	16	23	14	20	17
"ABCD2"	5	6	5	3	4	4	4	4	5	4	3	4	4	5
"ABCD3"	26	22	25	20	24	30	21	16	32	20	33	14	24	25
"ABCD4"	97	129	138	75	102	120	81	95	150	81	158	77	81	108
"ABCE1"	34	35	40	17	34	32	29	31	46	36	36	16	26	31
"ABCF1"	137	131	162	115	168	206	86	107	151	122	162	155	142	144
"ABCF2"	28	29	25	21	25	24	25	25	26	18	24	16	24	26
"ABCF2-H2BE1"	9	10	10	9	8	9	10	9	10	8	9	5	9	9
"ABCF3"	79	91	107	72	70	101	61	69	98	53	114	61	76	79
"ABCG1"	56	56	44	39	27	56	33	30	51	41	63	29	27	35
"ABCG2"	16	14	15	16	4	15	6	9	17	9	16	13	12	17
"ABCG4"	15	19	23	12	8	15	4	5	13	5	9	5	9	12
"ABCG5"	6	4	13	3	4	4	6	6	11	5	7	1	4	6
"ABCG8"	4	4	10	2	3	5	5	5	8	4	6	1	6	6
"ABHD1"	22	31	48	8	39	24	15	12	33	20	37	9	22	33
"ABHD10"	28	28	31	17	25	26	20	26	25	26	30	15	20	22
"ABHD11"	94	80	98	85	87	97	70	79	98	94	106	84	75	93
"ABHD11-AS1"	7	6	5	8	5	7	4	4	4	8	9	8	3	6
"ABHD12"	41	54	48	37	35	56	45	52	61	37	45	28	42	36
"ABHD12B"	20	28	53	15	9	21	14	25	33	16	31	11	20	18
"ABHD13"	10	10	10	9	10	9	9	8	9	10	10	8	9	10
"ABHD14A"	34	31	41	27	30	33	25	25	35	26	35	23	30	39
"ABHD14A-ACY1"	8	17	28	7	13	15	6	9	23	14	22	7	7	12
"ABHD14B"	54	52	66	56	51	58	44	38	61	52	62	38	51	56
"ABHD15"	9	10	11	9	10	9	8	8	10	9	10	8	8	9
"ABHD15-AS1"	3	0	0	0	4	1	0	0	0	0	1	1	0	0
"ABHD16A"	134	135	321	100	166	242	98	88	227	109	314	131	199	177
"ABHD16B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABHD17A"	39	37	49	31	33	45	37	29	45	24	49	34	38	36
"ABHD17B"	15	18	17	15	14	17	16	16	16	16	18	14	17	17
"ABHD17C"	20	26	18	23	20	20	13	9	32	9	17	15	15	12
"ABHD18"	26	29	28	22	33	37	29	30	31	35	29	20	28	38
"ABHD2"	17	23	28	11	15	29	15	18	24	23	28	17	11	22
"ABHD3"	40	27	49	23	37	40	37	27	53	28	47	31	29	36
"ABHD4"	21	29	31	25	22	34	31	36	40	28	33	20	26	43
"ABHD5"	17	23	29	13	16	23	23	18	27	17	23	15	24	17
"ABHD6"	19	27	27	14	17	25	17	17	26	15	21	6	13	22
"ABHD8"	17	15	20	9	10	16	13	13	15	12	16	12	13	15
"ABI1"	57	76	48	56	68	71	68	42	45	66	60	53	58	58
"ABI2"	114	93	129	68	84	131	75	125	125	89	100	64	102	105
"ABI3"	25	22	25	11	16	22	14	19	26	17	35	19	18	19
"ABI3BP"	56	46	91	28	35	64	40	37	103	29	55	25	50	61
"ABITRAM"	15	20	21	15	18	19	14	12	22	21	21	12	12	19
"ABL1"	22	28	31	24	22	29	20	24	27	21	27	22	26	23
"ABL2"	25	30	32	19	24	29	27	20	30	24	27	21	18	22
"ABLIM1"	45	62	44	50	40	72	43	37	70	44	51	27	48	38
"ABLIM2"	17	36	21	42	9	51	42	42	60	20	51	26	20	44
"ABLIM3"	17	25	26	15	16	36	12	10	34	16	26	16	9	14
"ABO"	13	16	10	11	7	18	19	8	12	14	16	12	12	10
"ABR"	123	211	240	51	69	203	122	133	210	64	283	136	97	73
"ABRA"	2	3	3	0	3	3	2	1	3	3	2	3	3	2
"ABRACL"	13	11	12	9	13	11	12	10	11	11	13	9	12	11
"ABRAXAS1"	48	44	44	38	49	39	34	31	51	40	46	28	41	49
"ABRAXAS2"	11	11	12	11	10	11	10	10	11	10	11	9	11	11
"ABT1"	11	11	13	11	11	12	9	11	10	11	12	9	11	11
"ABTB1"	62	59	79	42	53	66	42	37	64	40	94	53	51	56
"ABTB2"	8	9	10	7	7	11	9	8	9	8	10	6	9	7
"ACAA1"	63	70	88	54	44	64	40	34	78	43	85	45	69	58
"ACAA2"	33	40	50	21	40	37	25	35	38	37	28	25	33	44
"ACACA"	90	113	150	61	88	112	73	69	107	75	97	53	76	85
"ACACB"	40	63	63	31	39	52	42	23	62	30	53	32	46	47
"ACAD10"	74	78	120	51	68	81	44	41	127	46	91	49	61	75
"ACAD11"	21	33	26	19	23	26	20	16	44	20	26	20	21	20
"ACAD8"	61	67	85	45	39	62	38	51	94	48	61	35	44	78
"ACAD9"	58	60	72	38	45	57	45	41	65	37	65	40	50	49
"ACADL"	3	9	9	3	4	10	5	2	5	9	6	0	8	2
"ACADM"	56	64	67	46	55	61	52	59	90	56	63	49	61	85
"ACADS"	16	18	26	12	16	15	13	13	22	14	26	12	16	17
"ACADSB"	13	17	18	15	12	20	9	13	19	18	15	10	18	27
"ACADVL"	154	156	205	92	180	175	103	114	192	123	235	116	130	181
"ACAN"	22	36	33	5	16	52	22	9	5	10	4	5	7	6
"ACAP1"	43	54	56	31	45	45	37	33	55	35	59	41	39	46
"ACAP2"	44	50	38	21	30	36	34	29	52	36	51	18	19	37
"ACAP2-IT1"	3	4	3	2	2	2	3	2	4	1	4	1	2	3
"ACAP3"	44	60	70	34	38	57	35	27	71	39	82	39	27	36
"ACAT1"	33	38	48	32	42	46	30	26	72	41	34	35	48	39
"ACAT2"	27	23	27	20	26	25	23	23	25	25	27	23	24	22
"ACBD3"	13	12	16	14	13	14	11	12	14	11	14	12	12	11
"ACBD3-AS1"	2	3	3	3	1	4	4	2	4	4	6	3	5	4
"ACBD4"	57	62	62	51	53	71	36	37	68	43	77	41	52	59
"ACBD5"	32	44	32	27	41	38	28	31	47	38	37	34	40	32
"ACBD6"	38	41	45	30	37	36	32	23	48	34	46	27	39	35
"ACBD7"	8	11	8	6	7	6	5	7	9	9	8	5	7	7
"ACCS"	51	56	66	34	38	50	26	21	61	35	74	39	55	50
"ACCSL"	2	0	2	0	5	1	1	2	0	0	1	1	1	0
"ACD"	54	53	69	30	43	60	35	42	49	35	72	30	41	49
"ACE"	53	69	98	35	24	82	37	37	56	29	68	27	50	40
"ACE2"	15	5	22	6	10	16	5	11	9	7	12	7	18	5
"ACER1"	1	3	3	1	2	3	1	2	3	2	4	2	2	1
"ACER2"	9	8	10	7	6	7	7	7	8	6	8	6	8	8
"ACER3"	43	33	40	15	42	47	31	42	41	52	95	16	30	26
"ACHE"	14	17	25	8	10	28	9	17	22	11	19	37	10	15
"ACIN1"	105	148	133	85	105	127	101	98	161	94	142	79	118	129
"ACKR1"	19	19	13	17	10	18	16	8	10	17	11	15	10	15
"ACKR2"	45	35	15	40	38	66	56	42	45	52	36	40	12	33
"ACKR3"	17	21	19	16	13	21	16	14	20	16	18	13	18	15
"ACKR4"	6	8	7	5	5	7	4	5	4	4	4	5	6	3
"ACLY"	49	65	57	44	42	57	50	45	55	44	59	47	43	51
"ACMSD"	2	9	8	2	1	2	2	1	8	1	5	1	1	2
"ACO1"	27	19	19	26	27	27	27	15	24	17	28	24	25	25
"ACO2"	31	25	39	32	40	30	28	24	37	28	41	24	29	33
"ACOD1"	2	2	4	0	3	4	3	4	2	2	1	1	2	2
"ACOT1"	7	6	17	7	8	11	6	7	7	8	12	4	6	8
"ACOT11"	28	31	29	28	22	37	27	23	38	29	45	21	32	34
"ACOT12"	1	0	1	0	0	0	0	1	0	2	3	0	0	0
"ACOT13"	27	25	31	26	25	26	26	26	23	27	30	25	27	27
"ACOT2"	23	26	37	22	27	29	26	27	26	35	32	21	23	29
"ACOT4"	8	9	10	7	7	9	8	10	8	9	10	7	7	9
"ACOT6"	1	2	3	0	1	2	3	1	4	0	1	0	0	0
"ACOT7"	37	38	42	24	25	43	26	37	58	31	30	27	26	40
"ACOT8"	74	62	81	47	61	64	59	48	71	75	71	50	65	72
"ACOT9"	48	46	53	35	39	53	40	42	55	56	52	35	44	47
"ACOX1"	50	46	51	41	41	59	41	36	45	46	47	30	48	34
"ACOX2"	24	42	65	18	13	40	18	22	33	21	28	12	37	15
"ACOX3"	38	30	43	30	37	43	27	32	32	31	39	32	35	40
"ACOXL"	14	17	27	12	18	15	11	9	32	20	20	4	10	15
"ACOXL-AS1"	6	8	9	4	5	8	5	1	9	2	11	0	6	5
"ACP1"	71	71	79	56	68	78	69	76	82	82	86	54	71	69
"ACP2"	34	31	23	27	27	37	30	26	37	19	30	24	33	35
"ACP3"	33	20	38	15	26	20	44	27	31	23	27	31	18	42
"ACP4"	2	5	6	1	0	3	1	3	4	2	4	1	4	1
"ACP5"	51	49	69	36	44	48	42	49	58	38	37	39	32	44
"ACP6"	70	52	76	60	53	64	53	41	65	61	90	40	57	55
"ACP7"	5	5	15	2	4	6	3	5	10	7	9	8	4	4
"ACR"	4	10	27	3	5	16	6	4	8	9	14	5	9	6
"ACRBP"	32	29	33	11	39	23	18	18	30	27	46	30	29	28
"ACRV1"	3	8	12	0	5	6	6	4	6	6	8	3	4	8
"ACSBG1"	8	9	13	6	8	15	7	3	21	6	15	3	7	7
"ACSBG2"	9	11	6	6	5	10	4	2	19	6	4	4	4	2
"ACSF2"	72	89	64	57	51	112	46	41	102	58	155	52	69	64
"ACSF3"	58	60	85	48	59	66	44	40	61	52	68	49	65	54
"ACSL1"	56	46	54	40	35	46	56	42	50	44	50	40	28	43
"ACSL3"	42	46	47	29	36	55	35	36	48	34	50	28	39	29
"ACSL3-AS1"	1	0	2	0	0	2	0	0	0	0	2	0	2	0
"ACSL4"	30	30	39	23	20	32	27	34	31	29	38	20	34	24
"ACSL5"	39	41	43	62	40	45	34	31	46	30	39	29	40	38
"ACSL6"	8	12	10	7	9	9	5	6	12	5	9	9	4	8
"ACSL6-AS1"	1	0	1	0	0	1	0	0	0	1	0	0	0	0
"ACSM1"	7	12	12	4	5	14	4	5	17	6	14	6	11	11
"ACSM2A"	11	15	15	10	12	12	7	8	17	5	14	8	11	9
"ACSM2B"	11	14	17	8	12	14	12	7	17	10	16	8	17	16
"ACSM3"	64	62	62	39	65	62	44	41	71	64	58	34	71	51
"ACSM4"	4	7	3	0	2	5	2	2	8	5	8	4	4	4
"ACSM5"	13	15	9	8	4	9	9	4	19	10	23	12	14	11
"ACSM6"	4	5	5	2	5	5	3	3	6	3	6	3	1	2
"ACSS1"	24	21	27	19	23	26	23	15	34	19	31	17	18	23
"ACSS2"	90	76	106	60	82	74	66	45	88	79	95	45	60	81
"ACSS3"	13	32	28	24	36	26	18	12	43	23	29	13	35	10
"ACTA1"	8	8	7	3	7	10	4	4	7	3	9	6	10	6
"ACTA2"	35	52	39	22	33	44	40	31	31	43	36	36	26	32
"ACTA2-AS1"	7	21	12	6	13	15	9	5	10	15	10	7	6	7
"ACTB"	74	78	86	73	84	83	71	57	87	73	104	79	67	74
"ACTBL2"	1	4	3	5	4	5	3	4	6	3	6	2	4	1
"ACTC1"	6	7	9	3	9	13	2	0	5	4	5	1	5	3
"ACTG1"	137	125	159	103	129	151	110	136	134	123	154	99	118	126
"ACTG1P25"	5	6	5	2	3	6	5	2	6	3	5	2	4	4
"ACTG2"	22	43	21	19	21	36	23	8	14	19	12	21	16	24
"ACTL6A"	63	66	66	41	46	62	49	65	70	64	60	41	55	79
"ACTL6B"	2	2	12	0	0	1	0	0	2	0	1	0	1	0
"ACTL7A"	1	1	0	0	0	0	0	0	0	1	1	0	0	1
"ACTL7B"	2	0	1	2	0	1	0	0	0	1	2	0	0	1
"ACTL8"	12	8	2	0	7	4	0	5	2	9	7	1	1	2
"ACTL9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTN1"	92	130	154	97	88	135	97	73	153	72	113	75	70	81
"ACTN1-AS1"	7	6	11	3	4	4	4	1	7	6	5	2	4	3
"ACTN2"	9	10	9	1	3	16	4	3	7	14	2	2	8	2
"ACTN3"	2	3	3	0	3	3	3	2	3	1	5	3	1	0
"ACTN4"	85	92	101	74	69	90	70	78	98	83	89	67	85	86
"ACTR10"	80	83	89	60	86	84	75	55	92	95	104	49	71	77
"ACTR1A"	36	34	32	27	33	40	27	31	42	33	39	20	25	36
"ACTR1B"	25	25	30	22	22	24	19	23	30	22	30	19	23	24
"ACTR2"	23	28	20	17	23	23	21	16	28	20	25	17	20	19
"ACTR3"	61	61	64	48	47	60	39	49	65	63	54	45	50	55
"ACTR3B"	31	34	39	27	33	30	30	25	33	28	34	24	28	34
"ACTR3C"	35	34	30	23	28	28	28	25	32	30	35	20	28	32
"ACTR5"	9	9	10	8	9	9	8	8	9	8	11	7	8	9
"ACTR6"	49	47	55	34	54	40	36	41	53	46	51	34	39	53
"ACTR8"	32	38	46	31	36	36	19	23	43	33	35	23	27	38
"ACTRT1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTRT2"	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"ACTRT3"	7	8	9	6	7	8	6	7	7	7	8	6	8	7
"ACVR1"	30	34	45	20	23	35	30	22	35	22	45	22	30	35
"ACVR1B"	26	38	36	27	24	23	22	25	39	18	39	15	24	30
"ACVR1C"	5	6	7	4	13	6	9	6	4	6	8	4	5	6
"ACVR2A"	21	36	27	24	28	31	24	15	32	24	34	19	23	24
"ACVR2B"	14	15	24	12	13	22	14	14	19	18	22	15	14	20
"ACVR2B-AS1"	9	8	10	6	8	8	7	5	9	6	7	6	9	8
"ACVRL1"	30	40	38	18	20	40	26	25	24	23	28	20	26	25
"ACY1"	57	57	78	56	56	65	29	38	71	59	73	47	55	60
"ACY3"	19	9	15	10	10	16	14	19	8	17	14	11	13	16
"ACYP1"	27	24	30	22	25	23	21	27	31	25	31	19	24	27
"ACYP2"	50	49	55	39	44	45	41	41	53	49	62	38	50	52
"ADA"	35	38	45	24	37	29	30	31	33	23	47	22	27	32
"ADA2"	37	50	49	34	42	43	27	39	55	37	48	35	38	34
"ADAD1"	0	0	0	0	1	0	0	0	1	1	0	0	0	0
"ADAD2"	6	6	11	1	3	16	2	1	12	5	12	2	2	2
"ADAL"	33	42	44	28	34	33	24	21	45	26	44	30	38	35
"ADAM10"	58	70	56	50	52	72	49	51	71	45	75	41	61	51
"ADAM11"	11	24	27	4	7	25	10	8	21	5	22	5	12	4
"ADAM12"	14	28	22	12	17	27	22	16	16	18	11	14	10	11
"ADAM15"	185	142	204	130	186	189	122	120	188	136	191	120	140	152
"ADAM17"	16	19	12	11	14	14	16	15	16	13	16	10	15	15
"ADAM18"	4	4	4	0	3	2	0	0	3	5	5	0	2	0
"ADAM19"	10	21	24	7	15	23	14	13	15	12	13	8	20	11
"ADAM2"	1	1	0	0	9	0	0	2	0	2	35	0	0	0
"ADAM20"	1	3	3	1	0	3	0	3	2	2	4	0	1	1
"ADAM20P1"	2	4	5	2	4	4	3	0	4	2	4	1	0	2
"ADAM21"	5	6	7	3	7	5	3	4	8	4	6	2	6	2
"ADAM22"	9	22	28	7	16	21	26	17	8	32	11	9	10	12
"ADAM23"	6	9	17	6	4	12	6	3	9	6	6	3	8	9
"ADAM28"	36	61	47	38	53	73	30	39	50	44	82	47	61	41
"ADAM29"	3	4	4	2	5	6	3	2	5	2	4	4	3	3
"ADAM30"	0	0	0	0	0	0	1	0	0	0	1	0	0	1
"ADAM32"	78	66	61	17	50	42	26	19	46	59	60	43	55	27
"ADAM33"	29	35	50	13	6	36	15	8	42	33	18	21	10	16
"ADAM7"	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"ADAM8"	34	43	51	25	21	39	30	24	55	22	58	28	34	36
"ADAM9"	66	74	68	45	53	53	46	31	56	42	65	47	52	35
"ADAMDEC1"	15	23	17	6	20	19	9	24	18	22	9	20	18	19
"ADAMTS1"	22	39	24	21	18	23	21	15	30	20	18	12	31	17
"ADAMTS10"	35	64	96	18	20	69	35	21	39	22	87	31	55	21
"ADAMTS12"	14	20	18	16	14	26	13	13	20	16	9	13	11	9
"ADAMTS13"	26	39	48	22	13	36	13	22	38	11	41	29	27	30
"ADAMTS14"	9	19	17	10	7	17	14	12	13	10	15	11	6	8
"ADAMTS15"	10	11	7	10	8	12	10	10	10	9	8	9	6	11
"ADAMTS16"	7	14	13	7	13	16	17	10	9	10	7	4	5	4
"ADAMTS17"	14	25	44	16	6	34	17	18	37	16	15	16	15	22
"ADAMTS18"	3	13	4	4	7	9	5	3	8	8	5	2	6	2
"ADAMTS19"	0	9	6	1	1	22	1	0	4	2	2	1	3	0
"ADAMTS19-AS1"	0	1	2	0	0	7	0	0	1	0	1	0	2	0
"ADAMTS2"	18	30	20	18	17	31	22	16	19	21	16	17	16	20
"ADAMTS20"	2	6	6	0	10	1	2	0	1	5	13	2	1	2
"ADAMTS3"	6	9	13	6	9	13	8	8	9	8	7	5	11	5
"ADAMTS4"	18	18	20	10	11	23	17	11	12	10	8	10	8	7
"ADAMTS5"	7	11	7	6	7	9	7	6	5	7	9	5	9	6
"ADAMTS6"	14	19	12	10	11	11	11	8	4	9	11	3	11	19
"ADAMTS7"	10	26	22	7	11	20	10	11	14	9	21	8	9	6
"ADAMTS8"	8	9	6	10	2	14	4	3	10	8	5	4	8	5
"ADAMTS9"	27	59	68	24	23	50	23	15	22	34	25	19	25	36
"ADAMTS9-AS1"	9	24	25	6	12	30	9	4	7	10	5	2	8	13
"ADAMTS9-AS2"	8	15	21	7	7	17	6	3	13	13	18	6	10	7
"ADAMTSL1"	30	42	38	26	32	35	23	23	19	30	10	15	21	23
"ADAMTSL2"	13	23	15	18	10	23	14	12	15	10	23	13	11	12
"ADAMTSL3"	18	29	35	20	12	24	19	16	20	18	10	18	16	18
"ADAMTSL4"	28	43	36	34	35	42	25	22	39	24	49	20	27	35
"ADAMTSL4-AS1"	5	4	6	5	6	5	5	2	4	3	7	3	0	1
"ADAMTSL4-AS2"	4	4	4	2	4	4	3	2	5	3	6	3	2	4
"ADAMTSL5"	10	17	19	9	18	15	11	8	20	9	7	4	4	6
"ADAP1"	62	61	69	46	23	65	23	26	64	25	61	39	19	38
"ADAP2"	40	39	37	27	33	33	28	25	49	33	66	40	34	40
"ADAR"	63	62	78	55	63	65	53	56	72	49	67	49	63	63
"ADARB1"	52	54	52	39	35	55	39	36	53	36	46	27	41	43
"ADARB2"	24	18	34	6	5	15	5	16	7	9	9	11	13	6
"ADARB2-AS1"	0	6	1	1	0	2	0	1	7	0	2	1	4	1
"ADAT1"	60	60	60	27	38	52	47	39	57	51	51	34	53	52
"ADAT2"	18	20	21	14	19	16	13	12	21	16	21	9	18	18
"ADAT3"	12	11	13	14	11	16	13	8	14	10	15	12	11	12
"ADCK1"	29	41	56	23	34	37	34	34	45	24	44	20	25	38
"ADCK2"	12	15	28	18	17	20	25	20	21	13	25	19	19	26
"ADCK5"	26	32	49	20	27	41	29	17	37	18	33	25	33	30
"ADCY1"	19	11	25	8	6	25	15	17	13	7	19	4	5	18
"ADCY10"	4	2	4	2	1	6	5	2	6	3	8	2	4	3
"ADCY2"	12	14	16	12	10	15	8	3	19	8	17	7	13	9
"ADCY3"	57	62	76	54	58	60	54	61	75	41	68	68	64	47
"ADCY4"	78	50	66	26	40	86	81	46	53	22	56	53	26	66
"ADCY5"	40	37	23	13	19	52	21	28	25	36	24	22	21	41
"ADCY6"	33	61	68	38	40	57	42	32	71	33	69	32	45	42
"ADCY6-DT"	5	6	13	3	8	5	4	3	10	7	10	4	5	5
"ADCY7"	34	58	51	23	23	59	40	22	63	22	60	42	25	38
"ADCY8"	7	8	25	12	14	5	0	0	21	1	6	0	16	3
"ADCY9"	18	21	24	27	14	29	21	11	21	16	28	18	20	22
"ADCYAP1"	7	5	18	2	3	43	4	38	7	5	3	1	4	2
"ADCYAP1R1"	16	19	29	26	3	33	6	17	5	4	21	9	5	30
"ADD1"	104	136	136	80	97	127	77	84	132	87	146	88	111	100
"ADD2"	42	43	36	20	19	40	43	46	35	37	27	27	27	21
"ADD3"	40	70	55	41	60	55	36	47	87	45	63	30	35	56
"ADD3-AS1"	8	14	16	11	11	11	7	9	16	5	11	2	11	8
"ADGB"	5	8	9	4	4	7	3	3	6	3	7	4	6	16
"ADGRA1"	3	1	6	10	0	9	0	1	6	0	7	0	3	3
"ADGRA1-AS1"	0	0	1	0	0	2	0	0	0	0	1	0	0	0
"ADGRA2"	18	24	21	18	17	25	19	16	18	15	19	17	15	15
"ADGRA3"	34	55	70	34	31	39	28	26	53	28	47	24	47	34
"ADGRB1"	19	15	28	5	5	57	17	17	9	5	11	18	10	7
"ADGRB2"	28	64	57	26	22	63	32	34	60	33	76	32	31	34
"ADGRB3"	2	4	0	4	0	6	2	1	2	7	0	1	3	0
"ADGRD1"	14	44	25	18	15	49	23	15	39	21	35	18	11	14
"ADGRD1-AS1"	0	1	1	0	2	4	0	0	0	0	3	0	0	0
"ADGRD2"	7	7	15	4	6	8	3	6	14	5	14	3	10	10
"ADGRE1"	17	18	8	11	18	14	10	12	16	23	18	11	10	14
"ADGRE2"	38	34	24	18	18	26	19	20	32	15	54	22	21	17
"ADGRE3"	5	2	1	5	2	9	2	0	1	1	11	4	1	2
"ADGRE5"	65	66	57	37	62	73	43	35	72	29	61	48	50	48
"ADGRF1"	25	28	17	30	43	42	35	31	52	62	75	12	51	30
"ADGRF2"	3	3	0	0	3	2	0	1	4	4	3	2	0	0
"ADGRF3"	16	25	23	14	18	18	11	13	24	10	20	16	23	15
"ADGRF4"	2	5	1	4	5	6	4	1	4	7	11	5	3	1
"ADGRF5"	11	21	28	16	20	20	19	16	20	10	17	13	16	17
"ADGRF5-AS1"	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"ADGRG1"	159	170	178	131	130	249	132	107	130	116	266	142	108	160
"ADGRG2"	84	73	48	55	32	43	56	20	41	27	71	29	81	72
"ADGRG3"	13	6	5	3	7	19	12	7	11	4	28	5	4	8
"ADGRG4"	0	2	2	0	1	2	1	0	2	0	2	1	2	1
"ADGRG5"	12	21	23	15	20	19	16	19	24	12	27	24	14	26
"ADGRG6"	27	41	41	28	24	30	34	29	62	16	35	13	28	27
"ADGRG7"	0	1	1	0	1	7	0	0	1	23	1	2	2	0
"ADGRL1"	42	59	63	42	31	63	50	35	37	35	36	36	18	38
