""	"TCGA-23-2078-01"	"TCGA-20-1687-01"	"TCGA-57-1582-01"	"TCGA-13-1410-01"	"TCGA-13-1405-01"	"TCGA-24-2271-01"	"TCGA-61-2111-01"	"TCGA-36-1574-01"	"TCGA-13-1505-01"
"A1BG"	37	3	33	71	95	25	19	25	27
"A1BG-AS1"	89	29	153	303	295	97	64	88	96
"A1CF"	6	0	3	0	3	1	0	1	1
"A2M"	21661	11906	9532	19541	32372	8759	12371	15036	34748
"A2M-AS1"	210	122	23	99	91	59	211	268	298
"A2ML1"	161	872	43	49	16	417	55	18	364
"A2ML1-AS1"	0	0	0	0	0	0	3	0	0
"A2ML1-AS2"	0	0	0	6	0	0	0	1	4
"A2MP1"	17	2	7	6	21	2	5	8	12
"A3GALT2"	5	2	1	19	8	3	9	1	3
"A4GALT"	667	2552	234	1644	1996	311	1284	10384	365
"A4GNT"	5	0	1	1	7	1	1	1	7
"AAAS"	6847	1762	6030	3838	3782	2352	2235	4517	4721
"AACS"	2065	596	1473	2754	2998	2327	1477	2353	1946
"AACSP1"	21	0	4	0	1	0	3	0	397
"AADAC"	397	10	203	134	50	291	15	145	308
"AADACL2"	10	4	19	1	0	3	0	1	2
"AADACL2-AS1"	9	1	3	0	3	5	4	6	3
"AADACL3"	6	24	2	0	1	36	1	2	0
"AADACL4"	5	1	1	0	1	2	56	0	0
"AADACP1"	158	6	31	9	23	104	28	248	15
"AADAT"	712	30	224	569	226	59	303	543	192
"AAGAB"	3930	1566	3404	2289	2046	1124	1582	4346	2581
"AAK1"	6596	2458	1506	27568	11926	2729	5000	2708	4200
"AAMDC"	815	715	305	792	1174	355	323	838	593
"AAMP"	9922	5746	7248	11067	14025	3380	3988	9423	6725
"AANAT"	91	10	10	51	32	20	11	28	14
"AAR2"	4446	2588	4774	6192	4118	1368	2094	4708	2851
"AARD"	63	338	100	195	679	100	4	435	148
"AARS1"	9178	1863	7060	10335	19970	2892	5337	18297	5223
"AARS1P1"	0	0	0	0	0	0	0	0	0
"AARS2"	1647	642	1036	6314	1262	584	1107	1281	1036
"AARSD1"	259	79	215	252	156	89	114	276	248
"AARSD1P1"	29	1	5	11	17	9	6	11	22
"AASDH"	996	401	1565	701	777	183	525	1254	1038
"AASDHPPT"	4395	2862	2427	2675	3063	1111	1182	5239	2303
"AASS"	354	42	38	267	156	135	62	134	392
"AATBC"	95	12	77	80	234	164	19	40	85
"AATF"	4410	2859	7374	6002	3105	1314	1354	2685	1908
"AATK"	803	36	92	192	253	149	166	288	81
"ABALON"	105	6	35	87	49	14	92	51	32
"ABAT"	449	1146	651	552	1432	2330	577	492	3264
"ABCA1"	7085	2382	4123	4915	5130	3207	3339	9747	1912
"ABCA10"	83	15	27	15	44	99	31	5	59
"ABCA11P"	127	70	63	52	186	35	40	58	86
"ABCA12"	59	15	50	17	31	5	12	36	59
"ABCA13"	58	108	58	26	459	524	141	116	76
"ABCA17P"	51	127	78	87	53	42	27	4	88
"ABCA2"	8231	7428	7065	4300	10236	1748	1692	3305	5906
"ABCA3"	1369	3717	2160	2740	1029	1393	1040	400	4605
"ABCA4"	351	113	136	496	787	793	293	70	74
"ABCA5"	708	332	496	404	369	240	733	444	317
"ABCA6"	249	60	42	146	179	85	63	54	264
"ABCA7"	1752	735	384	1033	2167	788	552	785	896
"ABCA8"	364	96	40	188	540	181	286	38	278
"ABCA9"	174	32	21	81	159	151	79	12	154
"ABCA9-AS1"	1	1	9	0	1	1	3	0	2
"ABCB1"	154	88	39	107	123	71	232	75	48
"ABCB10"	1392	648	1374	1954	1005	436	741	1846	631
"ABCB10P1"	1	0	3	0	0	0	34	2	0
"ABCB10P3"	0	0	0	0	1	0	6	0	0
"ABCB10P4"	0	0	0	0	0	0	17	0	0
"ABCB11"	4	1	0	3	18	3	1	7	0
"ABCB4"	157	39	13	39	100	18	32	49	23
"ABCB5"	21	1	6	14	16	3	4	1	9
"ABCB6"	1037	98	424	273	445	289	410	553	245
"ABCB7"	2159	579	2155	1654	2277	493	748	1534	841
"ABCB8"	5271	1933	3347	4547	2691	1122	925	2073	2291
"ABCB9"	1204	441	700	548	1024	1290	554	714	1482
"ABCC1"	11387	3309	5981	4866	6791	3775	7758	4294	3897
"ABCC10"	2056	1020	1096	4352	1038	914	1361	1526	1280
"ABCC11"	37	8	15	13	17	3	317	55	9
"ABCC12"	2	0	0	0	2	0	9	0	0
"ABCC13"	1	0	0	1	0	0	0	2	0
"ABCC2"	92	18	5	28	33	22	376	17	33
"ABCC3"	476	661	205	450	707	441	1633	987	849
"ABCC4"	2719	1971	2784	1455	3012	13799	330	2791	2131
"ABCC5"	3967	995	2800	3383	3600	2130	3299	1674	3648
"ABCC5-AS1"	5	0	2	0	4	0	3	1	1
"ABCC6"	522	58	299	105	182	84	119	84	126
"ABCC6P1"	35	1	2	7	18	85	17	24	17
"ABCC6P2"	25	0	5	13	38	8	63	39	5
"ABCC8"	1	0	1	1	3	10	4	0	2
"ABCC9"	456	268	224	396	780	328	243	285	1063
"ABCD1"	4093	2361	2641	3369	2550	1337	2117	3000	760
"ABCD1P2"	3	1	0	0	0	0	0	0	0
"ABCD1P3"	1	0	0	0	0	0	0	0	0
"ABCD1P4"	1	0	0	0	0	0	2	0	0
"ABCD1P5"	0	1	1	0	0	0	0	1	0
"ABCD2"	71	8	15	16	30	14	34	12	29
"ABCD3"	2401	1592	1750	3985	5558	1205	2005	2211	1650
"ABCD4"	4489	813	1743	1548	2245	1256	1705	1544	2538
"ABCE1"	9234	2218	5979	6776	8117	1225	2099	5389	2759
"ABCF1"	6452	4742	11075	10113	4965	1489	4980	5639	8027
"ABCF2"	9463	3691	6340	7935	7253	2372	2651	7127	4958
"ABCF2P1"	10	2	5	8	7	0	2	9	1
"ABCF2P2"	0	0	0	0	0	0	0	0	0
"ABCF3"	6919	3234	8307	6635	6534	2486	3210	4741	4730
"ABCG1"	2560	1485	1335	1185	2761	694	3783	3176	622
"ABCG2"	98	259	45	123	116	68	430	99	49
"ABCG4"	68	325	16	385	452	115	18	49	185
"ABCG5"	26	6	8	4	9	10	14	9	43
"ABCG8"	17	4	0	3	18	49	7	4	68
"ABHD1"	98	19	81	147	60	54	32	54	107
"ABHD10"	3507	850	2434	2596	2087	840	1201	3531	2848
"ABHD11"	4946	7354	8351	19669	7685	2560	4181	2993	2400
"ABHD11-AS1"	45	454	754	422	217	28	169	131	9
"ABHD12"	7735	4324	14573	4650	6338	1922	3994	7346	4161
"ABHD12B"	60	38	5	54	55	56	14	23	72
"ABHD13"	2062	828	638	1290	1529	387	685	893	628
"ABHD14A"	3204	1647	662	1831	1261	651	498	1851	1100
"ABHD14A-ACY1"	66	6	19	17	32	11	20	31	34
"ABHD14B"	10320	11838	5699	5303	4141	3226	1262	11511	3600
"ABHD15"	880	671	816	1138	704	232	1152	816	591
"ABHD15-AS1"	2	0	1	0	6	0	0	0	1
"ABHD16A"	511	269	766	871	407	266	400	458	393
"ABHD16B"	0	0	0	0	0	0	0	0	0
"ABHD17A"	4219	2469	3611	3566	4064	3032	1434	3616	2613
"ABHD17AP1"	148	9	33	44	26	20	24	30	34
"ABHD17AP3"	18	19	16	24	19	5	1	10	8
"ABHD17AP4"	10	4	9	14	6	1	3	2	6
"ABHD17AP5"	72	4	7	12	20	5	5	15	5
"ABHD17AP6"	16	4	10	25	14	6	0	32	3
"ABHD17AP7"	0	1	0	0	0	0	0	0	0
"ABHD17AP8"	2	0	0	0	0	0	0	1	0
"ABHD17AP9"	0	1	0	0	0	0	0	1	0
"ABHD17B"	1368	659	778	611	1128	334	793	1002	943
"ABHD17C"	2625	2223	3404	1570	676	717	1279	2115	1294
"ABHD18"	1884	320	866	700	1442	311	639	755	865
"ABHD2"	8244	2084	2777	3612	4810	2080	4609	3646	2862
"ABHD3"	455	287	335	1021	673	255	756	3098	502
"ABHD4"	3405	2886	7578	3485	5212	2546	5725	6290	3684
"ABHD5"	1768	580	543	1375	1305	309	693	1495	729
"ABHD6"	433	156	222	426	496	243	172	531	376
"ABHD8"	2755	963	934	6768	2631	807	1153	2323	1368
"ABI1"	3399	3326	6485	3833	7606	1849	3525	6679	3401
"ABI1P1"	3	0	0	0	0	1	0	0	0
"ABI2"	5972	2858	2933	4943	7019	2574	2911	4287	6219
"ABI3"	945	697	273	924	981	389	477	710	366
"ABI3BP"	1424	236	302	867	871	731	232	340	1533
"ABITRAM"	2263	1270	1639	1104	2186	865	390	2066	1936
"ABITRAMP1"	1	0	2	0	0	0	0	0	0
"ABL1"	17909	4418	5725	4821	11576	2628	3235	12256	5651
"ABL2"	4407	1122	1427	2709	2731	1370	1406	1947	1310
"ABLIM1"	26717	20063	22383	26641	9629	4776	902	5290	6032
"ABLIM2"	279	477	150	301	522	185	105	79	134
"ABLIM3"	790	84	84	259	540	98	118	130	139
"ABO"	1601	1005	1685	210	5235	1796	100	1936	440
"ABR"	4619	1224	991	1606	5422	989	1311	2261	3704
"ABRA"	4	0	5	5	3	4	0	0	1
"ABRACL"	1081	672	1707	1692	2019	289	970	1671	2601
"ABRAXAS1"	372	477	976	623	427	162	346	727	739
"ABRAXAS2"	3268	2988	2504	9501	1304	687	1646	1323	1474
"ABT1"	2193	2226	4207	2724	1655	546	1283	3439	2667
"ABT1P1"	0	0	0	1	1	0	3	0	1
"ABTB1"	1825	1300	833	4234	2027	1976	2335	3125	1440
"ABTB2"	757	180	243	925	286	208	917	897	597
"ACAA1"	3559	2509	2234	2754	3214	1213	1139	1858	1317
"ACAA2"	2127	534	4002	2704	3183	709	2524	3237	1635
"ACACA"	4841	1500	5751	4814	5732	1543	1859	5324	3132
"ACACB"	1940	420	615	413	1574	666	775	597	1338
"ACAD10"	2041	1261	1203	1539	1662	1366	1814	3185	3190
"ACAD11"	51	7	23	36	17	20	29	34	20
"ACAD8"	2811	1164	1181	1662	1968	660	668	1599	2097
"ACAD9"	5717	1939	6118	5487	4952	1495	1952	5189	2100
"ACADL"	22	11	1	102	53	3	6	13	22
"ACADM"	3581	2099	3883	3663	4173	1077	2478	3910	2593
"ACADS"	479	414	369	1068	707	522	684	1816	1067
"ACADSB"	1766	3769	3107	2209	696	638	908	712	712
"ACADVL"	16736	4100	10088	16733	15109	4205	5686	7347	9832
"ACAN"	168	19	103	210	252	39	21	333	38
"ACAP1"	2165	241	321	471	599	587	248	363	677
"ACAP2"	3320	2840	7636	7456	6412	2318	2375	4401	2448
"ACAP2-IT1"	19	4	13	17	22	20	6	9	11
"ACAP3"	6183	977	3264	2146	6303	1578	1007	1100	2753
"ACAT1"	1616	2447	2420	3419	2950	739	539	4056	1464
"ACAT2"	1083	468	574	1103	2021	274	602	2885	685
"ACBD3"	7268	2633	6064	9071	7297	2545	3398	7029	3147
"ACBD3-AS1"	37	14	10	16	13	10	11	28	11
"ACBD4"	988	800	1001	1081	658	483	380	1132	705
"ACBD5"	1006	734	2379	1504	1904	454	1298	2434	780
"ACBD6"	3357	2160	2400	5111	6934	1200	1650	2636	2496
"ACBD7"	510	110	157	329	289	31	236	205	223
"ACCS"	1258	359	211	523	936	564	463	1311	547
"ACCSL"	0	0	2	3	0	1	0	3	0
"ACD"	1215	413	822	940	1492	697	962	2438	1066
"ACE"	1589	416	861	1257	1268	773	815	1916	413
"ACE2"	28	105	18	36	41	33	26	111	17
"ACE3P"	1	0	0	1	0	0	0	0	0
"ACER1"	17	1	2	0	3	3	3	1	1
"ACER2"	462	144	88	171	152	240	279	740	343
"ACER2P1"	0	1	0	0	0	0	2	5	0
"ACER3"	2995	592	1258	1998	2353	719	979	1714	841
"ACHE"	218	23	23	134	167	74	124	126	48
"ACIN1"	16513	4858	9216	9107	8326	6556	9261	8342	9928
"ACKR1"	854	253	81	471	1789	289	200	242	191
"ACKR2"	6880	869	1205	2598	2948	974	971	4017	38
"ACKR3"	3633	811	608	888	1279	364	2655	813	1105
"ACKR4"	730	28	3	144	74	11	6	141	29
"ACKR4P1"	5	0	1	0	2	0	1	2	0
"ACLY"	7089	3577	11314	9880	9621	2206	4213	7730	4720
"ACMSD"	17	9	8	6	6	5	17	2	21
"ACNATP"	0	0	0	0	1	0	0	0	0
"ACO1"	3018	1832	1668	2572	5590	901	2059	3445	1879
"ACO2"	9039	7223	7617	7670	8079	2492	2545	9352	2020
"ACOD1"	5	0	2	5	5	3	0	9	1
"ACOT1"	151	117	64	119	481	11	51	81	89
"ACOT11"	642	467	210	953	769	577	1001	484	356
"ACOT12"	1	0	0	0	1	1	0	2	0
"ACOT13"	1235	1124	1435	1367	1173	290	931	1953	1127
"ACOT2"	1283	407	1367	977	1695	639	756	1237	939
"ACOT4"	390	152	102	898	368	57	381	557	182
"ACOT6"	15	0	3	3	1	3	3	4	3
"ACOT7"	5109	1115	3405	1007	1245	712	1110	4942	963
"ACOT8"	2028	825	2500	4006	2257	847	850	2036	1665
"ACOT9"	2142	1016	2294	2435	3129	756	1014	2446	945
"ACOX1"	6684	4288	4858	2830	2747	2070	1997	5857	1976
"ACOX2"	401	336	924	113	552	358	93	877	486
"ACOX3"	975	588	703	463	2268	174	858	788	1180
"ACOXL"	61	28	91	383	72	12	110	89	28
"ACOXL-AS1"	26	9	24	26	19	22	29	29	23
"ACP1"	7176	5101	7046	4817	8061	2643	3509	3782	5732
"ACP2"	4485	2259	2545	6266	5826	1439	2575	3241	2365
"ACP3"	867	145	344	927	862	535	127	4947	643
"ACP4"	52	1	5	25	35	43	1	7	18
"ACP5"	1121	1097	1455	4764	499	933	1387	4568	860
"ACP6"	4184	1807	1226	2771	1098	2861	1226	1971	1378
"ACP7"	12	0	1	2	110	1	43	27	1
"ACR"	6	2	7	13	87	24	10	90	36
"ACRBP"	359	52	145	298	116	121	153	188	911
"ACRP1"	10	1	0	2	1	0	12	0	0
"ACRV1"	74	1	12	41	15	8	8	58	17
"ACSBG1"	55	7	36	8	24	25	17	18	19
"ACSBG2"	87	13	23	14	24	20	12	11	35
"ACSF2"	1121	1677	2386	2800	4995	1032	3077	3914	1615
"ACSF3"	3344	762	1200	1364	1053	734	1032	2112	847
"ACSL1"	5584	1642	1541	1476	10208	940	946	2149	1301
"ACSL3"	6578	2256	7270	3413	4909	1723	2363	4992	2295
"ACSL3-AS1"	4	0	1	3	3	1	4	5	3
"ACSL4"	6130	2899	2535	6748	10223	2425	10948	6197	2841
"ACSL5"	1115	19280	225	4351	3294	2772	1493	2322	712
"ACSL6"	58	8	13	15	27	46	21	11	39
"ACSL6-AS1"	0	0	0	0	0	4	0	0	5
"ACSM1"	274	9	31	16	26	52	24	12	186
"ACSM2A"	0	0	0	2	1	0	1	2	1
"ACSM2B"	21	0	0	0	1	1	0	0	1
"ACSM3"	3173	513	832	487	543	909	2798	350	2188
"ACSM4"	9	0	2	0	0	0	3	2	1
"ACSM5"	52	20	14	32	60	26	20	11	35
"ACSM5P1"	168	0	1	0	0	1	1	0	0
"ACSM6"	10	0	0	2	2	6	0	0	12
"ACSS1"	1518	1526	1023	1603	1493	1393	1364	1423	1393
"ACSS2"	3785	4471	4162	4910	5118	2091	1352	4774	2564
"ACSS3"	691	996	1168	449	1170	692	520	1178	1004
"ACTA1"	35	10	133	39	32	51	5	30	11
"ACTA2"	9467	5488	7790	11855	25333	6922	1156	15518	21337
"ACTA2-AS1"	303	37	41	229	260	116	10	133	646
"ACTB"	414851	316135	327234	672471	830839	253077	181848	411230	259555
"ACTBL2"	21	58	7	149	64	3	0	84	7
"ACTBP1"	29	13	17	31	27	4	6	20	6
"ACTBP11"	79	44	57	120	87	11	25	66	18
"ACTBP12"	30	4	13	16	10	2	8	32	2
"ACTBP14"	4	5	4	11	8	1	3	3	5
"ACTBP15"	61	8	28	51	28	7	14	29	25
"ACTBP2"	296	149	187	318	308	53	76	168	59
"ACTBP6"	5	0	0	0	1	0	0	1	1
"ACTBP7"	84	41	44	72	134	34	23	110	41
"ACTBP8"	27	9	14	38	30	4	9	17	4
"ACTBP9"	30	9	27	52	32	3	10	25	9
"ACTC1"	55	4	23	24	25	5	8	13	129
"ACTE1P"	1	0	0	0	1	4	0	0	2
"ACTG1"	501799	124866	341531	170906	253963	123633	119451	455316	145205
"ACTG1P1"	112	38	68	57	48	26	51	93	23
"ACTG1P10"	20	5	4	9	9	3	5	6	9
"ACTG1P11"	15	2	11	9	4	0	0	2	1
"ACTG1P12"	24	5	6	7	11	1	2	11	3
"ACTG1P13"	0	0	0	0	0	0	0	0	0
"ACTG1P14"	65	27	45	76	76	6	23	56	15
"ACTG1P15"	17	4	11	11	30	13	4	12	5
"ACTG1P16"	5	0	3	2	1	2	2	4	1
"ACTG1P17"	60	9	19	17	43	13	14	24	25
"ACTG1P18"	2	0	1	3	0	0	0	3	0
"ACTG1P19"	13	2	5	15	14	2	2	9	2
"ACTG1P2"	5	4	12	4	0	1	1	4	3
"ACTG1P20"	108	17	65	35	58	15	24	48	26
"ACTG1P21"	14	6	4	8	7	0	2	8	4
"ACTG1P22"	4	0	1	2	2	3	1	0	4
"ACTG1P23"	18	14	20	37	32	5	6	21	11
"ACTG1P24"	13	6	13	8	7	3	6	6	7
"ACTG1P25"	23	1	4	17	15	8	11	5	16
"ACTG1P3"	63	9	10	11	17	20	14	14	23
"ACTG1P4"	0	0	0	0	0	0	0	0	0
"ACTG1P9"	49	6	24	24	25	3	14	41	6
"ACTG2"	1090	247	332	1042	1598	226	63	1761	1194
"ACTL11P"	27	2	0	8	29	21	0	4	0
"ACTL6A"	6768	2428	9009	7856	5534	1493	3474	10782	5304
"ACTL6B"	5	0	3	2	3	3	1	4	1
"ACTL7A"	0	0	0	0	1	0	0	2	1
"ACTL7B"	3	4	0	1	0	2	0	0	5
"ACTL8"	15	0	590	1	16	0	38	21	58
"ACTL9"	1	0	0	1	0	0	0	0	0
"ACTN1"	39106	13461	25123	24736	25010	15230	8956	18810	18789
"ACTN1-AS1"	24	6	11	9	13	26	13	7	25
"ACTN2"	26	3	6	23	22	7	13	14	27
"ACTN3"	4	0	9	22	5	5	5	1	2
"ACTN4"	81740	50659	114344	120069	105168	44300	40898	58717	44945
"ACTN4P1"	67	41	75	226	77	13	24	57	11
"ACTN4P2"	0	0	3	0	0	0	0	0	0
"ACTP1"	4	1	4	0	0	0	1	5	0
"ACTR10"	3393	2120	2728	4769	2511	1319	1787	2953	2866
"ACTR1A"	11992	2597	4635	8372	11824	2994	6211	4287	5495
"ACTR1AP1"	2	1	1	3	3	0	5	4	3
"ACTR1B"	7094	5466	5836	8576	9700	2421	3111	6451	6823
"ACTR2"	24590	10042	12610	13859	22270	4560	8170	14591	9492
"ACTR3"	18843	13243	21412	33705	36937	7306	11353	22425	12084
"ACTR3B"	1347	865	1419	1597	1185	427	656	1249	1219
"ACTR3BP1"	0	0	0	0	0	0	0	0	0
"ACTR3BP2"	0	0	0	0	0	0	0	0	0
"ACTR3BP3"	0	0	0	0	0	0	0	0	0
"ACTR3BP4"	1	0	0	1	0	0	0	0	0
"ACTR3BP5"	0	0	0	0	0	0	0	0	0
"ACTR3BP6"	0	0	0	0	0	0	0	0	0
"ACTR3BP7"	0	0	0	0	0	0	0	0	0
"ACTR3C"	431	188	473	323	271	50	256	551	126
"ACTR3P2"	6	2	2	6	4	0	0	5	0
"ACTR3P3"	1	0	0	0	0	0	0	0	0
"ACTR5"	599	447	900	1127	689	275	366	625	512
"ACTR6"	826	394	1059	640	806	433	737	1753	1425
"ACTR6P1"	0	0	0	0	0	0	0	0	0
"ACTR8"	2589	917	1257	1722	2020	630	950	1376	1404
"ACTRT1"	0	0	0	0	0	0	1	0	0
"ACTRT1P1"	0	0	0	0	0	0	0	0	0
"ACTRT2"	4	0	0	0	0	0	34	0	1
"ACTRT3"	598	71	197	481	319	61	304	255	182
"ACVR1"	3912	1880	4971	1917	4118	1556	1126	3675	2588
"ACVR1B"	3733	4753	2814	4494	3408	3120	3082	3223	4922
"ACVR1C"	148	19	30	26	90	9	37	12	221
"ACVR2A"	1447	1181	1139	919	1504	427	538	761	1356
"ACVR2B"	3771	1218	1428	1178	974	743	1019	1091	1807
"ACVR2B-AS1"	330	92	139	510	389	74	198	640	399
"ACVRL1"	1358	363	466	1150	942	316	635	1046	453
"ACY1"	872	312	450	436	721	167	289	577	270
"ACY3"	78	147	53	224	185	254	84	163	177
"ACYP1"	812	271	378	481	383	174	186	560	294
"ACYP2"	971	507	363	683	1175	252	738	1046	1029
"ADA"	802	374	753	2578	631	264	748	502	252
"ADA2"	11758	5412	2996	7242	13130	2653	4754	3651	2740
"ADAD1"	0	0	0	0	0	0	0	0	0
"ADAD1P2"	0	0	0	0	0	0	0	0	0
"ADAD2"	9	1	0	6	11	5	6	5	4
"ADAL"	1396	345	395	528	319	195	366	656	511
"ADAM10"	8458	4481	6555	7828	10899	4381	3815	8234	4983
"ADAM11"	139	11	223	49	101	73	31	71	131
"ADAM12"	5465	569	3032	2419	6671	938	304	4532	2406
"ADAM15"	11872	8639	8502	21306	10072	5543	3452	15890	2765
"ADAM17"	2851	1583	2601	2952	5750	1203	2658	2506	3061
"ADAM18"	3	0	0	0	0	0	0	0	0
"ADAM19"	3450	202	545	764	1753	546	287	1749	525
"ADAM1A"	0	0	0	0	0	0	0	0	0
"ADAM1B"	22	18	9	12	15	16	16	12	37
"ADAM2"	2	0	0	0	0	0	1	0	3
"ADAM20"	8	2	7	0	5	0	0	0	3
"ADAM20P1"	54	4	9	20	6	4	16	3	18
"ADAM20P2"	0	0	0	0	0	0	0	0	0
"ADAM20P3"	0	0	0	0	0	0	3	0	0
"ADAM21"	38	9	5	138	19	2	40	3	121
"ADAM21P1"	3	2	0	7	4	0	5	0	18
"ADAM22"	132	130	57	199	524	141	168	214	527
"ADAM23"	172	19	23	64	250	32	492	43	42
"ADAM24P"	0	0	0	0	0	0	0	0	0
"ADAM28"	2638	1227	774	447	499	754	390	1649	2170
"ADAM29"	5	0	1	0	15	0	0	4	0
"ADAM30"	1	0	0	0	0	0	0	0	1
"ADAM32"	145	19	140	92	177	205	202	139	50
"ADAM33"	2580	57	126	730	629	272	959	150	272
"ADAM3A"	0	0	0	0	0	0	0	4	3
"ADAM3B"	2	0	0	1	0	1	1	0	1
"ADAM5"	5	0	0	0	1	0	0	0	1
"ADAM6"	0	0	0	0	0	0	1	0	1
"ADAM7"	0	0	1	0	0	0	0	0	0
"ADAM8"	1064	2234	1588	3540	1093	1054	1116	2641	878
"ADAM9"	5714	3326	6569	4099	20602	1821	6955	6280	4021
"ADAMDEC1"	403	21	432	567	66	107	348	733	49
"ADAMTS1"	10140	973	13352	18887	4284	6487	491	5354	4980
"ADAMTS10"	963	112	127	418	1556	447	195	356	988
"ADAMTS12"	5057	467	1741	1958	2649	533	146	2568	1414
"ADAMTS13"	684	114	335	415	712	371	222	745	908
"ADAMTS14"	8357	77	308	959	2846	240	126	983	667
"ADAMTS15"	10227	1064	856	14402	4101	3737	5080	3335	370
"ADAMTS16"	437	25	484	165	1208	125	2196	540	418
"ADAMTS17"	525	164	420	345	392	225	339	36	141
"ADAMTS18"	123	18	19	50	26	30	38	22	65
"ADAMTS19"	41	1	1	4	4	1	21	2	412
"ADAMTS19-AS1"	2	0	0	0	1	0	4	1	40
"ADAMTS2"	10114	967	3282	2372	4233	1098	711	4171	2825
"ADAMTS20"	13	0	12	14	14	20	11	3	375
"ADAMTS3"	138	29	411	76	344	39	22	85	305
"ADAMTS4"	1445	158	606	1058	1185	730	101	1734	462
"ADAMTS5"	698	82	200	1162	292	126	120	676	503
"ADAMTS6"	231	32	146	54	145	34	20	134	90
"ADAMTS7"	1646	152	355	745	1013	213	647	619	581
"ADAMTS7P1"	20	2	7	5	3	18	7	2	7
"ADAMTS7P3"	3	0	3	2	7	1	6	6	6
"ADAMTS7P4"	42	7	5	14	15	10	1	6	11
"ADAMTS8"	65	102	25	105	16	13	46	55	90
"ADAMTS9"	12887	230	2609	1866	2412	283	715	1654	1534
"ADAMTS9-AS1"	489	13	54	34	79	26	5	45	209
"ADAMTS9-AS2"	165	8	24	16	41	7	33	10	64
"ADAMTSL1"	937	240	201	322	402	232	155	383	522
"ADAMTSL2"	813	507	107	616	593	142	123	472	946
"ADAMTSL3"	1108	244	45	94	366	106	156	454	315
"ADAMTSL4"	1291	649	522	1050	465	463	701	812	317
"ADAMTSL4-AS1"	95	46	24	104	61	89	24	36	51
"ADAMTSL4-AS2"	80	6	15	50	30	48	10	48	11
"ADAMTSL5"	322	56	92	79	344	44	82	92	48
"ADAP1"	1697	1320	250	642	781	359	518	597	230
"ADAP2"	1277	539	657	1253	703	445	620	953	486
"ADAR"	33484	24087	25069	83958	32893	22171	25274	37682	28872
"ADARB1"	2288	780	924	1036	1223	800	481	800	973
"ADARB2"	43	13	1	0	51	39	114	12	130
"ADARB2-AS1"	3	1	0	0	0	0	11	0	0
"ADAT1"	1503	218	1042	1143	1218	468	812	3246	760
"ADAT2"	639	174	1222	189	326	202	224	319	405
"ADAT3"	786	417	446	286	421	356	244	461	201
"ADCK1"	831	421	1167	776	587	399	384	356	377
"ADCK2"	2377	3024	2982	3321	1756	1000	1459	3800	2302
"ADCK5"	1458	667	2953	1291	942	1239	636	1181	914
"ADCY1"	421	95	68	180	103	63	113	90	453
"ADCY10"	20	2	4	9	6	9	5	7	5
"ADCY10P1"	240	71	112	230	126	62	136	139	198
"ADCY2"	339	31	415	27	22	12	25	5	97
"ADCY3"	2844	1925	1489	3780	3916	1608	960	3992	1592
"ADCY4"	792	244	154	336	580	313	299	803	295
"ADCY5"	4654	196	1216	924	412	565	2035	2081	261
"ADCY6"	3218	852	804	1760	2242	460	1200	2190	2500
"ADCY6-DT"	31	8	3	19	17	3	33	135	59
"ADCY7"	1349	257	447	335	701	322	549	1147	321
"ADCY8"	34	169	3	48	41	108	0	4	134
"ADCY9"	2308	3492	1185	1428	2154	1522	1705	1110	1489
"ADCYAP1"	8	5	6	13	11	14	2	10	5
"ADCYAP1R1"	270	1052	180	79	204	19	5246	377	749
"ADD1"	19046	8490	12546	13013	29646	4037	7030	11132	13105
"ADD2"	1973	383	332	59	2064	832	325	2828	541
"ADD3"	5581	7912	4596	9928	6452	1891	3529	5004	6209
"ADD3-AS1"	37	36	4	11	14	13	5	12	43
"ADGB"	6	1	19	1	0	0	0	5	2
"ADGRA1"	5	87	1	10	29	30	0	20	8
"ADGRA1-AS1"	0	0	0	0	0	1	0	0	0
"ADGRA2"	5423	1322	1645	2281	3391	2015	1402	2309	2143
"ADGRA3"	6777	2221	6899	3340	4615	886	3396	3613	4396
"ADGRB1"	211	15	672	36	100	210	124	287	76
"ADGRB2"	1161	235	514	733	2641	221	615	638	874
"ADGRB3"	90	8	5	25	14	0	39	34	4
"ADGRD1"	225	55	80	74	117	117	100	42	311
"ADGRD1-AS1"	1	0	0	0	0	0	0	0	5
"ADGRD2"	3	3	6	7	8	10	34	13	171
"ADGRE1"	156	44	34	27	62	97	36	66	41
"ADGRE2"	542	129	189	358	245	183	195	246	112
"ADGRE3"	6	10	3	4	4	9	127	11	4
"ADGRE4P"	22	0	6	7	28	14	29	6	19
"ADGRE5"	10746	2815	4043	8718	6200	874	1636	6329	947
"ADGRF1"	97	197	105	88	744	176	82	722	188
"ADGRF2"	8	1	13	1	66	11	104	19	8
"ADGRF3"	209	72	36	111	129	58	98	76	63
"ADGRF4"	18	19	19	8	248	13	43	96	11
"ADGRF5"	1817	573	760	1520	1636	649	445	1146	690
"ADGRF5-AS1"	0	0	0	0	0	0	0	0	2
"ADGRF5P1"	3	1	5	17	11	0	24	0	2
"ADGRF5P2"	0	0	1	0	0	0	1	1	0
"ADGRG1"	25286	11035	25467	17229	59628	8498	19718	42903	9635
"ADGRG2"	5080	2392	2598	15142	4264	1840	45	1221	2774
"ADGRG3"	40	9	53	66	77	35	50	73	13
"ADGRG4"	0	0	0	0	2	0	0	0	1
