""	"TCGA-23-2078-01"	"TCGA-20-1687-01"	"TCGA-57-1582-01"	"TCGA-13-1410-01"	"TCGA-13-1405-01"	"TCGA-24-2271-01"	"TCGA-61-2111-01"	"TCGA-36-1574-01"	"TCGA-13-1505-01"
"UMPS"	4628	1043	3531	4607	2611	1094	1625	3826	1562
"UNC119"	1792	1508	2627	2938	5506	1532	2150	2343	2295
"UNC119B"	5104	1690	2767	1274	3087	1104	659	3208	3004
"UNC13A"	246	23	119	216	43	74	63	78	26
"UNC13B"	2982	1969	860	2589	3571	834	1605	704	1963
"UNC13C"	2	0	9	4	3	2	19	2	2
"UNC13D"	1943	456	929	2891	909	2125	1045	7445	715
"UNC45A"	5898	3443	5129	3673	4249	2902	2651	5774	3704
"UNC45B"	5	4	1	11	8	6	7	5	4
"UNC50"	2705	1955	2668	3066	2447	981	1521	3388	3509
"UNC5A"	860	828	1310	17	6388	1720	162	3703	152
"UNC5B"	10380	9203	2718	11919	15892	4927	950	7864	4242
"UNC5B-AS1"	224	196	141	639	1410	271	7	1846	78
"UNC5C"	521	84	824	365	540	85	58	185	183
"UNC5C-AS1"	34	17	101	35	45	3	2	24	15
"UNC5CL"	135	19	30	137	376	36	125	195	46
"UNC5D"	11	0	1	10	0	0	0	0	2
"UNC79"	233	19	60	341	131	68	198	61	205
"UNC80"	15	2	4	4	4	0	8	6	31
"UNC93A"	72	12	3	95	1	14	8	1	18
"UNC93B1"	6284	11619	4337	18169	6919	3902	4588	17221	3108
"UNC93B2"	5	9	9	12	11	23	9	9	10
"UNC93B3"	10	13	8	19	6	2	7	24	6
"UNC93B4"	2	6	2	3	6	1	2	5	4
"UNC93B5"	7	6	7	8	4	1	7	62	2
"UNC93B6"	5	6	3	17	2	4	5	23	2
"UNC93B7"	4	3	2	10	0	0	0	3	2
"UNC93B8"	2	1	3	11	5	1	3	7	0
"UNCX"	1	0	0	0	0	0	1	0	0
"UNG"	3859	1548	10317	2235	3319	1224	3375	11898	4983
"UNGP1"	0	0	0	0	1	0	0	0	0
"UNGP3"	37	0	23	52	14	13	15	1	6
"UNK"	3952	1831	2888	3287	2432	1614	1519	3689	3385
"UNKL"	1056	571	1224	537	850	837	1144	590	2858
"UOX"	1	0	2	2	0	0	1	1	8
"UPB1"	23	0	1	9	8	2	9	5	7
"UPF1"	21335	9488	10275	17407	7382	5222	6525	11820	6395
"UPF2"	2653	2372	4388	3402	5212	1828	2083	2968	6304
"UPF3A"	4773	2062	1127	1770	3532	1606	1151	1002	1718
"UPF3AP1"	12	3	11	12	15	1	3	3	3
"UPF3AP2"	21	16	8	17	11	3	4	7	9
"UPF3AP3"	40	11	6	12	7	13	9	11	6
"UPF3B"	1890	792	1115	881	1764	550	792	1152	944
"UPK1A"	41	7	34	7	22	8	11	0	63
"UPK1A-AS1"	1	1	4	1	2	0	1	0	6
"UPK1B"	8698	364	763	756	574	522	2015	1631	528
"UPK2"	795	71	44	57	120	19	926	14	53
"UPK3A"	8	3	4	10	550	4	5	36	10
"UPK3B"	10333	1323	4509	32106	17576	4877	930	924	868
"UPK3BL1"	164	2	13	104	2	133	0	74	4
"UPK3BP1"	16	6	1	14	4	1	2	2	3
"UPP1"	969	332	287	536	1216	576	392	1119	208
"UPP2"	25	29	32	4	47	8	24	11	14
"UPP2-IT1"	1	0	0	0	0	0	2	0	0
"UPRT"	641	256	635	784	1016	217	434	696	484
"UQCC1"	4361	2149	4363	3764	3673	1174	1404	3441	2904
"UQCC2"	1707	801	2881	2506	3123	444	826	3863	1470
"UQCC3"	979	1155	2409	3086	2372	820	469	4105	1309
"UQCR10"	4566	6803	5064	6485	12282	1686	2929	7019	2673
"UQCR10P1"	0	3	0	1	0	0	0	0	0
"UQCR11"	4370	4715	4831	3725	5241	2291	1156	5675	2364
"UQCRB"	24434	15955	13560	9521	11626	4275	3238	11383	5745
"UQCRBP1"	49	19	34	14	14	5	4	17	8
"UQCRBP2"	2	0	1	3	7	4	0	1	2
"UQCRBP3"	1	0	0	0	0	0	1	0	0
"UQCRC1"	39718	19850	14746	23719	18680	7311	6481	24096	12999
"UQCRC2"	17554	9428	17445	6192	8290	4294	4945	10178	7149
"UQCRC2P1"	1	1	0	0	0	0	0	0	0
"UQCRFS1"	7977	5494	10648	13326	8969	1985	6079	8581	3991
"UQCRFS1-DT"	12	13	5	18	9	2	15	19	4
"UQCRFS1P1"	214	99	266	536	202	45	116	184	102
"UQCRFS1P2"	0	0	0	1	0	0	0	0	0
"UQCRFS1P3"	0	0	1	0	0	0	0	0	0
"UQCRH"	18397	9382	13410	13873	15346	5803	3323	6771	10696
"UQCRHL"	1529	695	452	773	1174	435	243	349	867
"UQCRHP1"	2	0	1	0	0	2	2	3	0
"UQCRHP2"	2	1	2	2	0	0	0	3	0
"UQCRHP3"	1	0	0	0	1	0	0	0	0
"UQCRHP4"	0	0	1	0	2	0	0	0	2
"UQCRQ"	5746	11411	2192	6695	5353	1352	2334	24672	3100
"URAD"	1	0	0	0	0	0	0	0	0
"URAHP"	132	40	26	36	68	34	132	64	48
"URB1"	6666	1973	4626	4429	2338	1823	1671	3959	2599
"URB1-AS1"	461	154	437	452	461	97	252	1126	396
"URB2"	1985	598	1530	2283	1220	578	723	1895	972
"URGCP"	2537	2352	1161	3940	3481	1983	1354	1128	1435
