Gene symbol	B cells naive	B cells memory	T cells CD8	T cells CD4	NK cells	Monocytes	Macrophages M1	Macrophages M2
CLEC4A	270.684059	105.2173251	43.67169279	19.995556	39.06798479	2802.254283	51.67871576	6742.94324
CLEC7A	148.8556127	142.0062175	86.04241069	89.98404196	89.37299011	6165.953009	283.2038076	3071.447657
CLIC2	8.195551244	7.671472425	6.339831804	4.799625554	30.3854209	103.5590934	1393.382865	2233.164343
CMA1	77.95639785	68.10609278	25.22954469	46.6365232	53.020637	58.76829357	65.76280884	64.11513732
COL8A2	135.2230196	73.45098986	60.53487072	61.77215124	68.46140597	275.8747733	33.84353695	151.5623553
COLQ	28.85299608	27.39812397	152.7740895	135.3256446	351.0163026	33.83180651	86.1812316	128.1562926
CPA3	786.5967435	653.570348	147.6958112	243.2991012	308.1273629	135.1465191	247.6828366	206.9088618
CR2	1471.268235	559.6347831	245.2703384	67.24739132	64.40632604	35.1557773	55.67688175	39.48271435
CREB5	30.97425375	24.5582079	12.41011504	7.370460489	14.41666747	360.9106341	11.76274946	59.21766228
CRISP3	27.37818895	16.54772888	3.235495107	7.582193721	41.73838224	5.032005451	10.66334011	5.556158206
CRTAM	54.88908823	66.10701896	1443.48038	114.0594238	652.8575264	212.0416867	38.22269719	85.70898291
CRYBB1	8.51087882	9.160277762	8.78944775	10.6390921	7.972776848	9.396148118	12.12718124	166.9553981
CSF1	22.1078749	21.81521667	22.99418539	32.27097928	24.48518696	24.56893179	35.28849776	23.12217296
CSF2	24.24874392	18.24411695	24.4197256	25.87142267	741.3146239	27.09459243	18.82453343	16.29360796
CSF3R	99.76628743	29.61360061	24.3859179	36.16508067	45.2333023	2331.948628	860.3372222	737.8599039
CST7	29.71165699	21.33475082	5181.597893	1470.064999	10179.78364	63.6732263	186.8061087	292.5617552
CTLA4	19.39158332	12.05483904	19.09265901	606.1036832	18.71219759	18.619765	8.580759955	18.03666634
CTSG	247.7712501	204.7033855	113.3980465	81.23896111	105.3144058	88.12615549	88.66013895	141.0660169
CTSW	16.65790643	14.10507421	4894.215252	963.2767736	10811.41236	16.93731154	13.08202394	26.76355546
CXCL10	761.3944185	395.6381026	157.22658	152.9758784	1510.914551	500.9300164	31273.67963	278.3434035
CXCL11	90.26229276	71.79483122	22.77124293	14.33061258	183.3079432	38.41873667	9059.841342	29.35940998
CXCL13	50.1800947	22.77083572	22.35743472	8.95713845	16.12512522	10.31783604	627.930517	16.76076868
CXCL3	73.07039801	28.30659504	26.71170482	30.02788375	30.21807353	175.8826199	271.246673	233.3303549
CXCL5	94.16490321	83.04902879	18.42018765	41.21600403	29.07388553	32.93471403	91.98053835	46.38135018
CXCL9	597.5841917	438.2088306	125.8362376	151.5042347	590.3615841	265.0825127	38944.01868	199.4359175
